CCCCCCCC,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-4.73,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
CC1=CC=CC=C1,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-5.06,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
CCO,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-5.01,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
C1COCCO1,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-5.01,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
CCC(=O)C,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-4.52,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
CC1=CC=CC=N1,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-5.71,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,87.059,60.697,58.819,66.119,0.0,13.07,0.0,0.0,8.805,40.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.826
C1=CC=C2C=CC=CC2=C1,CC(C)CC(=O)C,4methyl2pentanone,CC(C)CC(=O)C,-7.45,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,98.761,96.028,66.823,135.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,194.789
C1=CC=C(C=C1)O,CC(C)CC(=O)C,4methyl2pentanone,CC(C)CC(=O)C,-9.38,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
CC1=CC(=CC=C1)O,CC(C)CC(=O)C,4methyl2pentanone,CC(C)CC(=O)C,-8.79,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,96.138,62.885,56.85,81.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,8.543,0.0,4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.442
CC(=O)O,CC(C)CC(=O)C,4methyl2pentanone,CC(C)CC(=O)C,-6.33,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
